index,title,author,genre,rating,review,annotations,Final Annotation,Preliminary Agreement
3FDWKV9VDY6BNHJG9HFH15HIS8TMUO,The Song of Achilles,Madeline Miller,Historical,1.0,"I am going to disagree with the Orange Prize committee. I am going to disagree with thousands of goodreads reviewers. This book is crap.Okay, all you trolls. Go ahead and tell me what a philistine I am, how ignorant I am of Greek literature and mythology, and how my failure to appreciate this book reflects my limitations rather than those of the book. You don't really need to bother defending this book, because the masses seem to agree with you. But if you ask me, this was a Harlequin. Boring Patroclus is wholly infatuated with the impossibly perfect Achilles, who, even more impossibly, returns Patroclus's passion. Lots of purple prose, lots of love, daring battles, blah, blah, blah. I got about halfway through and decided I was finished wasting my time.I'm fine with Patroclus and Achilles being in love, but a little complexity PLEASE. How about some characterization? How about some relationship tension from within, not just without?I've read some glorified Harlequins that managed to break my snob barrier -- Outlander and Water for Elephants to name just two. Sadly, this one didn't. Perhaps this was, in part, because all the accolades led me to expect something far more literary or deep. And maybe had I read The Iliad I would be more excited by the references and more forgiving of the book's flaws.So feel free not to take my word for it, but I found this book incredibly disappointing. ",Counter({'disappointed': 3}),disappointed,1.0
3P520RYKDSADFAYAHIYVK36W6D3U56,"Two Necromancers, a Bureaucrat, and an Elf",L.G. Estrella,Fantasy,3.0,"Not as good as I had hopedI guess this is supposed to be a short story, but it felt rushed, and I didn't very much of a plot out of this. I found the tone light, though, and I liked the humor and the characters, who were very unique. You can read this in a little more than an hour, maybe two, so it's not a huge investment of time. ","Counter({'confused': 2, 'disappointed': 1})",confused,0.5
3SMIWMMK7C97STDUDJL4A3J9QA7WUP,The Diary of a Young Girl,Anne Frank,Classics,5.0,"There really isn’t anything I can add that many other reviews haven’t already done. It’s a five star read because it is important, because it is real and because the holocaust is something we should never forget. ","Counter({'content': 2, 'confused': 1})",content,0.5
3OYHVNTV642LKOZGSJQSNMXPLHAOK8,A Flicker in the Dark,Stacy Willingham,Thriller,5.0,"This is a Psychological Thriller that will keep you guessing. I cannot believe this is a debut book because it was so good. I was pulled it to this story right for the beginning, and I did not want to put it down. This book kept me guessing, and it kept having me changing mine mind on who did it. The main character of this book was not lovable, but she made me root for her by the end. The ending of this book was so great, but I also loved the beginning of this book. If you love a book with a ton of suspense and keeps you on your toes then this is the book for you. I was kindly provided an e-copy of this book by the publisher (Minotaur Books) or author (Stacy Willingham) via NetGalley, so I can give an honest review about how I feel about this book. I want to send a big Thank you to them for that. This book is a Book of the Month December 2021 Pick. https://www.mybotm.com/zr12wnytgc8?sh...Note: I order a hard cover copy of this book because I loved it so much.","Counter({'content': 2, 'bored': 1})",content,0.5
30QQTY5GNVOS2ECT5BDSINKSXJYU7L,The Diary of a Young Girl,Anne Frank,Classics,4.0,"It happened. That thing, the reason I have put off reading this, happened. My heart broke. And I knew it would. Sure, I had heard of Anne Frank, I knew who she was, what she did, what happened. She is a historic figure, and a tragic one certainly. But I didn't make the really personal connection until I read her words, this diary. Her words bring her to life again. What a precocious young girl, so smart, so full of life; a life with so much promise, so much hope. She thinks, even writes, very much like a young girl would today. I think that's why so many young people feel a connection with her still. It's not a great work of literature. It can be tedious at times, even repetitive. But it's an important contribution to history. It tells a story that needs to be told again and again, not forgotten. Yes, Anne's words do give her life, and they will break your heart. But more importantly they resonate across time and around the world, and I expect they always will.","Counter({'content': 2, 'love': 1, 'annoyed': 1})",content,0.3333333333333333
3XBYQ44Z708SSGY5DEVU57X77W0WTY,"Two Necromancers, a Bureaucrat, and an Elf",L.G. Estrella,Fantasy,4.0,"One of the women who acted as a surrogate mother to me in my teenaged years, knowing I enjoy fantasy, recommended this novella to me for the following reason: it stars a ten year old girl who's a necromancer and works with ninja rats who can turn invisible. If this character appeals to you at all, you'll enjoy this read. ","Counter({'enthusiastic': 2, 'love': 1})",enthusiastic,0.5
3O71U79SSMTV84RCKCKHM4ZU7B8MS8,A Flicker in the Dark,Stacy Willingham,Thriller,4.0,"4 stars for a psychological mystery/thriller. Chloe Davis is a psychologist in Baton Rouge, Louisiana. She is wracked with guilt because of the fact that her father is a serial killer. She found the evidence that led to his conviction. She self medicates with illegally prescribed prescription pills. But then the murders of young teenage girls start again. She suspects several people when she finds evidence linking them to the current crimes. Because of the false clues, I was not sure of the actual killer until near the end. She does solve the mystery.Two quotes:Chloe's description of Home: ""A home isn't just a house, a collection of bricks and boards held together by concrete and nails. It's more emotional than that. A home is safety, security.""Louisiana bayou: ""Once we pass the clearing, I can't help but gasp at the beauty of this place. The bayou is wide and lazy, peppered with cypress trees emerging from the murky water, their knees breaking the surface like fingers reaching for something to grab. There are curtains of Spanish moss cascading the sunlight into millions of twinkling pinpricks, a chorus of frogs croaking in unison, with their wet, guttural sounds.""Thanks to HarperCollinsUK for sending me this eARC through NetGalley","Counter({'annoyed': 2, 'content': 1, 'enthusiastic': 1, 'confused': 1, 'disappointed': 1})",annoyed,0.2
3K2CEDRADM5WN44R9CP7W9VG9UMMTX,A Flicker in the Dark,Stacy Willingham,Thriller,4.0,"3.5:star:Oh dear... My head! :astonished_face: This was a good ride, a wild one! Chloe Davis is a psychologist in Baton Rouge and engaged to Daniel. What haunts her in the last twenty years is her family's past. At twelve, her father was arrested for multiple missing girls in their small town of Beaux Bridge. After her father's confession, and has gone to prison, the family starts to fall apart Chole, her brother Cooper, and their mother eventually ends up in a care facility. And now it's happening all over again.I hardly guess the bad guy correctly. I did this time, so please let me brag. :face_with_tears_of_joy: It didn't take long, I thought it was a little obvious, although, Ms. Willingham had me doubt myself because Chloe becomes unreliable so I start thinking it could be He #2, He #3, or He #4. Hell, Chloe is losing it too. I'm impressed with this debut because it got me hooked for the most part and it was a quick and fun listen with an excellent audiobook read by Karissa Vacker. I dropped half a star for the last 15% but will bump it up anyway!Thank you Macmillan Audio and Netgalley for this audio ARC.Available January 11, 2022.","Counter({'content': 2, 'disappointed': 1, 'enthusiastic': 1})",content,0.3333333333333333
3HUR21WDE5T3Y22PXPEFF73TV0OYXI,The Diary of a Young Girl,Anne Frank,Classics,5.0,"For her 13th birthday Anne Frank received a diary she dubbed Kitty. Shortly after her birthday with the fear that her older sister, Margo may be taken by the Nazis the Franks disappear into the night and go into hiding. It is through Kitty that Anne records her thoughts and daily life living behind a bookcase in the secret annex.When I was younger I went through a ""holocaust"" phase before moving on to Harriet Tubman and slavery. The funny thing is that Anne Frank's Diary was not the first Holocaust book I read, I think that was The Devil's Advocate. Anyway,I soon became fascinated by the Secret Annex and the secluded life she lived for two years. Unfortunately she and the other occupants of the Annex were betrayed and sent to concentration camps with only her father Otto Frank surviving. The tragic thing (not to minimize the inhumanity of it all) is that Anne died mere weeks before liberation. Anne's dream was to have her diary published after the war and after liberation her father saw that happen, making Kitty a time capsule to an unfathomable past. View all my reviews on my blog She is too fond of books","Counter({'enthusiastic': 2, 'bored': 1, 'confused': 1})",enthusiastic,0.3333333333333333
3MD8CKRQ0ART6HLE2Q7KG22HHFURJL,"Two Necromancers, a Bureaucrat, and an Elf",L.G. Estrella,Fantasy,5.0,UNCONVENTIONAL HEROSThis is a fun and funny read and quick. The combination of characters is interesting and humorous. Anyone who likes to smile while reading about all sorts of fantasy creations.,"Counter({'bored': 2, 'love': 1, 'content': 1})",bored,0.3333333333333333
